7890.0,Widget 7,Supplier C,1200,2014-07-27,suppliers.xlsx,suppliers_2014
1234,Widget 1,Supplier A,1100,6/2/2012,suppliers_2012.csv
2345,Widget 2,Supplier A,2300,6/17/2012,suppliers_2012.csv
4567,Widget 4,Supplier B,1300,7/4/2012,suppliers_2012.csv
6789,Widget 6,Supplier C,1175,7/23/2012,suppliers_2012.csv
7890,Widget 7,Supplier C,1200,7/27/2012,suppliers_2012.csv
1234.0,Widget 1,Supplier A,1100,2013-06-02,suppliers.xls,suppliers_2013
2345.0,Widget 2,Supplier A,2300,2013-06-17,suppliers.xls,suppliers_2013
4567.0,Widget 4,Supplier B,1300,2013-07-04,suppliers.xls,suppliers_2013
6789.0,Widget 6,Supplier C,1175,2013-07-23,suppliers.xls,suppliers_2013
7890.0,Widget 7,Supplier C,1200,2013-07-27,suppliers.xls,suppliers_2013
1234.0,Widget 1,Supplier A,1100,2014-06-02,suppliers.xls,suppliers_2014
2345.0,Widget 2,Supplier A,2300,2014-06-17,suppliers.xls,suppliers_2014
4567.0,Widget 4,Supplier B,1300,2014-07-04,suppliers.xls,suppliers_2014
6789.0,Widget 6,Supplier C,1175,2014-07-23,suppliers.xls,suppliers_2014
7890.0,Widget 7,Supplier C,1200,2014-07-27,suppliers.xls,suppliers_2014
1234.0,Widget 1,Supplier A,1100,2013-06-02,suppliers.xlsx,suppliers_2013
2345.0,Widget 2,Supplier A,2300,2013-06-17,suppliers.xlsx,suppliers_2013
4567.0,Widget 4,Supplier B,1300,2013-07-04,suppliers.xlsx,suppliers_2013
6789.0,Widget 6,Supplier C,1175,2013-07-23,suppliers.xlsx,suppliers_2013
7890.0,Widget 7,Supplier C,1200,2013-07-27,suppliers.xlsx,suppliers_2013
1234.0,Widget 1,Supplier A,1100,2014-06-02,suppliers.xlsx,suppliers_2014
2345.0,Widget 2,Supplier A,2300,2014-06-17,suppliers.xlsx,suppliers_2014
4567.0,Widget 4,Supplier B,1300,2014-07-04,suppliers.xlsx,suppliers_2014
6789.0,Widget 6,Supplier C,1175,2014-07-23,suppliers.xlsx,suppliers_2014
7890.0,Widget 7,Supplier C,1200,2014-07-27,suppliers.xlsx,suppliers_2014
1234,Widget 1,Supplier A,1100,6/2/2012,suppliers_2012.csv
2345,Widget 2,Supplier A,2300,6/17/2012,suppliers_2012.csv
4567,Widget 4,Supplier B,1300,7/4/2012,suppliers_2012.csv
6789,Widget 6,Supplier C,1175,7/23/2012,suppliers_2012.csv
7890,Widget 7,Supplier C,1200,7/27/2012,suppliers_2012.csv
